<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
A,20190830,71.45,72.45,70.82,71.11,2356300
AA,20190830,17.94,18.17,17.71,17.93,2095300
AAN,20190830,65.05,65.22,63.68,64.11,449600
AAP,20190830,138.7,139.82,137.45,137.95,721300
AAT,20190830,46.8,47,46.49,46.86,169900
AB,20190830,28.72,28.83,28.23,28.28,134800
ABB,20190830,19.01,19.1,18.95,19.02,1116300
ABBV,20190830,66.4,66.43,65.49,65.74,6415400
ABC,20190830,82.3,82.49,81.605,82.27,1092000
ABEV,20190830,4.49,4.57,4.49,4.54,28067500
ABG,20190830,93.72,94.5,93.13,94.3,142600
ABM,20190830,37.48,37.62,36.955,37.26,222500
ABR,20190830,12.62,12.64,12.41,12.55,1270300
ABR-A,20190830,25.8881,25.8881,25.8881,25.8881,300
ABR-B,20190830,25.75,25.75,25.661,25.68,500
ABR-C,20190830,26.38,26.38,26.075,26.38,400
ABT,20190830,85.47,85.62,84.63,85.32,3628500
AC,20190830,34.71,35.13,34.71,34.76,2800
ACA,20190830,32.18,32.84,31.88,32.49,241300
ACB,20190830,5.6,5.62,5.47,5.5,8101600
ACC,20190830,46.59,46.77,46.33,46.48,604100
ACCO,20190830,9.3,9.43,9.23,9.27,470700
ACH,20190830,7.35,7.42,7.3,7.36,48400
ACM,20190830,35.39,35.73,35.21,35.48,684700
ACN,20190830,200,200.68,196.77,198.17,2176600
ACP,20190830,11.97,12.03,11.95,11.98,62900
ACRE,20190830,15.1,15.15,14.96,14.99,104300
ACV,20190830,23.44,23.65,23.13,23.2,47100
ADC,20190830,74.35,74.88,74.22,74.69,202900
ADM,20190830,37.96,38.405,37.92,38.05,2995000
ADNT,20190830,20.05,20.74,19.96,20.17,540200
ADS,20190830,123.34,124.165,122.08,122.95,709100
ADSW,20190830,32.5,32.51,32.37,32.42,1033100
ADT,20190830,4.74,4.89,4.72,4.76,963800
ADX,20190830,15.53,15.55,15.43,15.49,188600
AEB,20190830,23.3,23.41,23,23.01,93200
AEE,20190830,77.5,77.52,76.88,77.15,1961300
AEG,20190830,3.81,3.81,3.75,3.78,898200
AEH,20190830,26.04,26.07,25.9,25.9,212000
